sample_id,sample_age_rep,harvest_time
lea_Spec4_diverse_ED00000.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00001.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00002.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00003.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00004.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00005.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00006.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00007.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00008.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00009.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00010.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00011.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00012.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00013.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00014.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00015.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00016.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00017.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00018.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00019.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00020.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00021.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00022.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00023.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00024.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00025.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00026.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00027.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00028.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00029.asd.ref,LE2768_y_1,ED
lea_Spec4_diverse_ED00030.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00031.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00032.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00033.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00034.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00035.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00036.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00037.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00038.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00039.asd.ref,LE2768_y_2,ED
lea_Spec4_diverse_ED00040.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00041.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00042.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00043.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00044.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00045.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00046.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00047.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00048.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00049.asd.ref,LE2768_y_3,ED
lea_Spec4_diverse_ED00050.asd.ref,LE2768_o_1,ED
lea_Spec4_diverse_ED00051.asd.ref,LE2768_o_1,ED
lea_Spec4_diverse_ED00052.asd.ref,LE2768_o_1,ED
lea_Spec4_diverse_ED00053.asd.ref,LE2768_o_1,ED
lea_Spec4_diverse_ED00054.asd.ref,LE2768_o_1,ED
lea_Spec4_diverse_ED00055.asd.ref,LE2768_o_1,ED
