NO,genotype,age,starch,ht
304,GH119,y,2.248732822,EN
305,GH119,y,6.026097029,EN
306,GH119,y,1.767247504,EN
307,GH119,o,NA,EN
308,GH119,o,14.17586628,EN
309,GH119,o,18.90119763,EN
310,GH119,m,15.29808355,EN
311,GH119,m,8.981726648,EN
312,GH119,m,4.627943657,EN
313,GH119,m,56.51654631,EN
314,GH119,m,46.38181339,EN
315,GH119,m,29.07168315,EN
316,GH119,m,12.50313076,EN
317,GH119,m,20.74329769,EN
318,GH119,m,22.32169988,EN
383,GH119,wp,17.24422757,EN
415,GH119,wp,24.84483771,EN
416,GH119,wp,26.66760083,EN
417,GH119,wp,24.15163499,EN
97,GH129,y,52.79099654,ED
98,GH129,y,60.95307648,ED
99,GH129,y,33.85751677,ED
100,GH129,o,31.4614834,ED
101,GH129,o,44.99485781,ED
102,GH129,o,51.38026668,ED
103,GH129,m,59.09154948,ED
104,GH129,m,80.06735724,ED
105,GH129,m,20.54839422,ED
106,GH129,m,69.69950522,ED
107,GH129,m,32.47648648,ED
108,GH129,m,47.09943122,ED
109,GH129,m,60.93517718,ED
110,GH129,m,66.17605551,ED
111,GH129,m,79.83508115,ED
190,GH129,wp,44.57613663,ED
424,GH129,wp,56.94689365,ED
425,GH129,wp,65.55423065,ED
426,GH129,wp,42.1172641,ED
238,GH99,y,0.399491581,EN
239,GH99,y,10.99516222,EN
240,GH99,y,6.109627086,EN
241,GH99,o,58.56768682,EN
242,GH99,o,24.57093197,EN
243,GH99,o,36.41535105,EN
244,GH99,m,20.81826057,EN
245,GH99,m,8.023431405,EN
246,GH99,m,17.48052207,EN
247,GH99,m,37.29771767,EN
248,GH99,m,54.48475455,EN
249,GH99,m,38.45733436,EN
250,GH99,m,13.48675094,EN
251,GH99,m,30.61194099,EN
252,GH99,m,37.25861739,EN
288,GH99,wp,22.46162465,EN
409,GH99,wp,40.64432152,EN
410,GH99,wp,40.08190216,EN
411,GH99,wp,45.14177593,EN
286,LE1236,wp,7.676124279,EN
334,LE1236,y,1.99474765,EN
335,LE1236,y,1.505251554,EN
336,LE1236,y,1.308442864,EN
337,LE1236,o,9.942114199,EN
338,LE1236,o,10.78045387,EN
339,LE1236,o,16.31749967,EN
340,LE1236,m,8.34345949,EN
341,LE1236,m,10.14379407,EN
