sample_age_rep,starch
 LE2768_y_1,27.62060579
 LE2768_y_2,18.37661272
 LE2768_y_3,50.42178036
 LE2768_o_1,61.64518267
 LE2768_o_2,37.2807837
 LE2768_o_3,62.48048325
 LE2768_m_1,56.21081538
 LE2768_m_2,49.30530981
 LE2768_m_3,63.37506323
 LE2768_m_4,47.57872094
 LE2768_m_5,55.79807863
 LE2768_m_6,73.9837655
 LE2768_m_7,82.54735126
 LE2768_m_8,71.83584973
 LE2768_m_9,54.27039595
 LE1619_y_1,NA
 LE1619_y_2,63.96015856
 LE1619_y_3,25.53633196
 LE1619_o_1,89.14935262
 LE1619_o_2,81.32628608
 LE1619_o_3,22.3860555
 LE1619_m_1,28.28366609
 LE1619_m_2,116.7455396
 LE1619_m_3,45.9415318
 LE1619_m_4,57.32799758
 LE1619_m_5,50.23324857
 LE1619_m_6,25.05901735
 LE1619_m_7,75.73391909
 LE1619_m_8,43.19115185
 LE1619_m_9,69.98939582
 LE1421_y_1,6.929901093
 LE1421_y_2,10.6918474
 LE1421_y_3,5.290236995
 LE1421_o_1,50.11803469
 LE1421_o_2,52.76795377
 LE1421_o_3,29.23552024
 LE1421_m_1,17.81974567
 LE1421_m_2,28.00245748
 LE1421_m_3,26.26876301
 LE1421_m_4,48.57594132
 LE1421_m_5,37.66446244
 LE1421_m_6,63.61649204
 LE1421_m_7,25.9871291
 LE1421_m_8,120.2832833
 LE1421_m_9,21.65099099
 LE1436_y_1,24.673494
 LE1436_y_2,20.38990129
 LE1436_y_3,12.54988186
 LE1436_o_1,2.0561245
 LE1436_o_2,13.73605395
 LE1436_o_3,16.55413873
 LE1436_m_1,23.38841619
 LE1436_m_2,16.70601156
 LE1436_m_3,21.53219268
 LE1436_m_4,53.45923701
 LE1436_m_5,53.65577832
 LE1436_m_6,53.27863148
 LE1436_m_7,54.86605903
 LE1436_m_8,71.96435751
 LE1436_m_9,70.86865958
 LE2692_y_1,7.500658254
 LE2692_y_2,7.364282649
 LE2692_y_3,11.26836858
 LE2692_o_1,67.86353142
 LE2692_o_2,66.27854384
 LE2692_o_3,69.29363058
 LE2692_m_1,35.00998945
 LE2692_m_2,43.67428738
 LE2692_m_3,45.46940539
 LE1619_m_4,50.85146935
 LE1619_m_5,47.4287743
 LE1619_m_6,58.70969778
 LE1619_m_7,54.44922288
 LE1619_m_8,69.05151447
 LE1619_m_9,70.08754619
 LE2622_y_1,49.93241234
 LE2622_y_2,50.11803469
 LE2622_y_3,42.25638219
 LE2622_o_1,57.05745488
 LE2622_o_2,68.779872
 LE2622_o_3,26.89667862
 LE2622_m_1,48.83295688
 LE2622_m_2,59.21352988
 LE2622_m_3,33.93958139
 LE2622_m_4,50.78627516
 LE2622_m_5,65.86941703
 LE2622_m_6,45.84872063
 LE2622_m_7,70.76495155
 LE2622_m_8,72.81855629
 LE2622_m_9,84.69947863
 GH129_y_1,52.79099654
 GH129_y_2,60.95307648
 GH129_y_3,33.85751677
 GH129_o_1,31.4614834
 GH129_o_2,44.99485781
 GH129_o_3,51.38026668
 GH129_m_1,59.09154948
 GH129_m_2,80.06735724
 GH129_m_3,20.54839422
 GH129_m_4,69.69950522
 GH129_m_5,32.47648648
 GH129_m_6,47.09943122
 GH129_m_7,60.93517718
 GH129_m_8,66.17605551
 GH129_m_9,79.83508115
 TP0345_y_1,20.09329943
 TP0345_y_2,33.00630571
 TP0345_y_3,24.13527318
 TP0345_o_1,33.3702581
 TP0345_o_2,44.14436995
 TP0345_o_3,46.26582497
 TP0345_m_1,78.27959705
 TP0345_m_2,74.0174583
 TP0345_m_3,58.65666283
 TP0345_m_4,51.59277227
 TP0345_m_5,50.44063354
 TP0345_m_6,72.64166911
 TP0345_m_7,50.74451013
 TP0345_m_8,95.16161838
 TP0345_m_9,70.37407372
 LE1408_y_1,20.43894105
 LE1408_y_2,9.657152492
 LE1408_y_3,8.637990685
 LE1408_o_1,39.22752121
 LE1408_o_2,61.18576736
 LE1408_o_3,46.66846906
 LE1408_m_1,48.17596085
 LE1408_m_2,53.94523007
 LE1408_m_3,31.65232324
 LE1408_m_4,19.58635839
 LE1408_m_5,46.71608325
 LE1408_m_6,43.11105613
 LE1408_m_7,31.23041456
 LE1408_m_8,63.59120726
 LE1408_m_9,41.61315608
 MR3.3_y_1,33.25002544
 MR3.3_y_2,33.49994951
 MR3.3_y_3,8.935329614
 MR3.3_o_1,86.9158095
 MR3.3_o_2,59.35346057
 MR3.3_o_3,46.53063853
 MR3.3_m_1,37.28439094
 MR3.3_m_2,41.75646173
 MR3.3_m_3,41.29022648
 MR3.3_m_4,30.49775222
 MR3.3_m_5,22.99533357
 MR3.3_m_6,24.70683656
 MR3.3_m_7,36.47479192
 MR3.3_m_8,48.691251
 MR3.3_m_9,38.60520615
 MR28_y_1,14.95679388
 MR28_y_2,28.02155006
 MR28_y_3,28.02560001
 MR28_o_1,40.82786241
 MR28_o_2,52.29777144
 MR28_o_3,57.61394945
 MR28_m_1,39.26364232
 MR28_m_2,23.45106373
 MR28_m_3,32.25242939
 MR28_m_4,28.44305559
 MR28_m_5,21.76793307
 MR28_m_6,26.23272175
 MR28_m_7,28.54090186
 MR28_m_8,29.93395229
 MR28_m_9,37.03558057
 MR20_y_1,8.297024438
 MR20_y_2,23.15106302
 MR20_y_3,6.874243993
