wavelength,vip,model,coef
552,1.9487974821106975,PLSR starch,0.6280515970962869
680,1.926209969209355,PLSR starch,-1.407826564981929
676,1.859706179492194,PLSR starch,-0.9656416042576551
548,1.7198882391774122,PLSR starch,1.037178048520165
768,1.6819197142976192,PLSR starch,0.2988968205270237
672,1.6749728861754907,PLSR starch,-0.5952442932087636
460,1.6597459534069001,PLSR starch,1.3119690758890492
764,1.634602430949139,PLSR starch,0.4089390937858567
772,1.6184463638744613,PLSR starch,0.23926703309671735
776,1.6136753368921255,PLSR starch,0.57024402702193
760,1.5482115578799294,PLSR starch,0.19047282507967983
780,1.54643666433349,PLSR starch,0.5663517609750672
1668,1.4877429730624963,PLSR starch,1.5189854505621603
1440,1.484138386025069,PLSR starch,1.0151864456353414
1692,1.4747214014918206,PLSR starch,-1.7969459052965902
1444,1.4714234808339353,PLSR starch,1.0445162257148422
2160,1.4665039593320865,PLSR starch,2.0365619118405287
1696,1.4529690234454415,PLSR starch,-1.8082451662093628
1436,1.4465346167357014,PLSR starch,0.8610495670216484
2156,1.43918968438252,PLSR starch,1.960041358465455
1448,1.435470510699473,PLSR starch,1.094415888985751
1684,1.4058880350217045,PLSR starch,-1.1323502347742453
756,1.4017808340502678,PLSR starch,-0.1389286124152589
1672,1.3986381581904275,PLSR starch,0.8245638134857389
1432,1.393284739724286,PLSR starch,0.8103913002375294
1680,1.3878727149974048,PLSR starch,-0.9769525568272774
848,1.3852760400981694,PLSR starch,0.6459556204235457
1688,1.3852298449916787,PLSR starch,-1.2321683184648655
1452,1.365575607114141,PLSR starch,1.1145949604030807
1924,1.3508073844640685,PLSR starch,0.7691531895454635
2164,1.3483225314961162,PLSR starch,1.6845055166456058
2152,1.3473552096245638,PLSR starch,1.8098385886218227
752,1.3393462821105584,PLSR starch,-0.30483532570250776
1664,1.3365855709194223,PLSR starch,1.3361496557164283
836,1.3338104240182804,PLSR starch,-0.09687005572016677
1180,1.332943869491869,PLSR starch,0.009666410095177103
1184,1.3323301558204865,PLSR starch,0.832724326351733
1052,1.3276970619922461,PLSR starch,-0.12101455447491291
840,1.3268300747596191,PLSR starch,-0.18301210171586202
832,1.3043198563256448,PLSR starch,0.33213700926813655
1676,1.2987357888395874,PLSR starch,-0.5634012782330214
1428,1.2977422388698796,PLSR starch,0.7628275602631509
748,1.2925601659158161,PLSR starch,-0.4775595477253298
1048,1.2916240535688892,PLSR starch,0.01309319940278797
684,1.2907817312276424,PLSR starch,-1.1373525330432381
892,1.2905357598374585,PLSR starch,-1.968362559571745
844,1.2748667654917993,PLSR starch,0.01089262057893764
2148,1.2708612028928774,PLSR starch,1.5895170046469487
1212,1.2526205405223376,PLSR starch,1.238078141711181
1056,1.2476217431766934,PLSR starch,-0.3685510423810603
828,1.2468620349051258,PLSR starch,0.08321698241930461
544,1.2384354119786087,PLSR starch,0.5153488097976796
1812,1.2320270183778452,PLSR starch,0.5422438173219022
2272,1.2301771651048758,PLSR starch,-1.9478130777065576
1800,1.229369428512834,PLSR starch,0.3243651401097385
1656,1.2292758197189058,PLSR starch,1.7157291764200011
824,1.2240449161673381,PLSR starch,0.2891175690348038
1456,1.221999642051275,PLSR starch,1.0142409502144276
1816,1.2214528386772863,PLSR starch,0.3136541979911862
668,1.2212972415660943,PLSR starch,-0.10961984651526524
1256,1.2209658013674696,PLSR starch,0.48677726491582285
856,1.215790561677094,PLSR starch,-1.1046038972562906
468,1.2013963164340202,PLSR starch,0.25258999889180367
1216,1.2003317234125441,PLSR starch,1.1757988518727307
1652,1.197696833679274,PLSR starch,1.7292461925334182
744,1.1974758220586064,PLSR starch,-0.5443340550884971
784,1.1956945603154543,PLSR starch,-0.006982992033736923
860,1.1893249201736216,PLSR starch,-0.6389903520923742
1920,1.1891888933250325,PLSR starch,0.5347525504809941
380,1.1888892935010296,PLSR starch,1.6066560863268826
908,1.1885237651501255,PLSR starch,-1.5393668715962137
1060,1.1870788534266314,PLSR starch,-0.2853338760705483
852,1.184736577353554,PLSR starch,-0.10210116442672623
1172,1.180616164233714,PLSR starch,0.17655663548481676
1284,1.1793694733030096,PLSR starch,0.2822208111702968
1276,1.1784575819550105,PLSR starch,0.16893284442508724
1280,1.1776518872903565,PLSR starch,-0.10152580358922209
2292,1.1766374068887766,PLSR starch,1.9957621049585672
2256,1.1713641411538511,PLSR starch,-1.5793701865252103
1660,1.1703187822973344,PLSR starch,1.0483502863158605
452,1.1702929948266338,PLSR starch,-1.4218939497148269
632,1.1687938353293306,PLSR starch,1.1124998219596869
2168,1.1680133817717862,PLSR starch,1.2291432998118579
2268,1.1631927865387037,PLSR starch,-1.7084764087360316
1024,1.159676323143216,PLSR starch,0.04901936160048021
2144,1.1581194679733307,PLSR starch,1.1937440294386414
2276,1.1577745170098792,PLSR starch,-1.7255991407174651
428,1.1531598727194465,PLSR starch,1.413327733685563
1708,1.1522353652317248,PLSR starch,1.6551290814379729
2196,1.1513016406869332,PLSR starch,-0.1895838782903008
1808,1.1492429023794413,PLSR starch,0.28727651241345137
2260,1.1492079689602748,PLSR starch,-1.6159435921590775
1028,1.1490179801484395,PLSR starch,0.7114199783412514
872,1.1485959563519226,PLSR starch,-0.4564096392252617
740,1.1472999202880285,PLSR starch,-0.5889308593581367
1424,1.1427284126960247,PLSR starch,0.6409001695538141
1700,1.141676258644239,PLSR starch,-0.7213299133004127
1820,1.1401305781872733,PLSR starch,0.067333874899096
384,1.1395746052940454,PLSR starch,0.3437379121437892
736,1.1393592698105928,PLSR starch,-0.6528433297177517
1176,1.1332509666642023,PLSR starch,-0.611786549288398
1796,1.1324480003193365,PLSR starch,0.7466820386860216
1064,1.1308427392545337,PLSR starch,0.30735073289980636
1648,1.1307522342409968,PLSR starch,1.6278357889898822
1804,1.1292101492077717,PLSR starch,0.1962362977787283
732,1.1261714293567746,PLSR starch,-0.6802145371793179
1288,1.1246336660168743,PLSR starch,0.5462160199499928
1928,1.1236291818313915,PLSR starch,0.49229605144850547
440,1.1228181942168016,PLSR starch,-0.03459491836233078
1192,1.12220424275947,PLSR starch,-1.5472228859380657
1044,1.1211089222673467,PLSR starch,-0.0852602104552527
2264,1.1206308355412518,PLSR starch,-1.5303229830376182
880,1.117161542895761,PLSR starch,-1.4004286733607345
1168,1.1165274404423036,PLSR starch,0.5678688763117723
1260,1.1162980964119371,PLSR starch,-0.19706982439459192
884,1.1162666704681605,PLSR starch,-1.3193873558598264
896,1.1158132899139535,PLSR starch,-1.4909011058660895
728,1.104725338359071,PLSR starch,-0.6539590218421306
636,1.1026808768326584,PLSR starch,0.7286185550183765
1164,1.099627535349871,PLSR starch,0.8666734098399739
2200,1.0970286591244631,PLSR starch,-0.2521744855493707
1272,1.095666537874867,PLSR starch,0.36849584452109385
656,1.090255264353086,PLSR starch,-0.3456414977977588
2252,1.0900534993289601,PLSR starch,-1.264177597730459
2248,1.0861748484118563,PLSR starch,-1.325124732667498
2176,1.0848118914649596,PLSR starch,1.3071623581971072
608,1.0824373996152445,PLSR starch,-0.5842930168296259
652,1.080944627749036,PLSR starch,-0.3614441055975701
900,1.0804476619364978,PLSR starch,0.3801814332917477
612,1.079029554835896,PLSR starch,-0.43363128903463277
1644,1.0762737160489488,PLSR starch,1.438268178725037
724,1.0744562851195025,PLSR starch,-0.6155604661046034
820,1.0734790090530792,PLSR starch,0.04520540974801525
456,1.0728386980313804,PLSR starch,-0.14944249705496349
616,1.0719949100563284,PLSR starch,-0.27036071097239056
640,1.0713475479362842,PLSR starch,0.47260477466788264
504,1.06821377127107,PLSR starch,-0.12601923763512315
1712,1.0681073665645622,PLSR starch,1.308235940205118
2172,1.06791020660884,PLSR starch,1.1263934313275052
508,1.067330695822882,PLSR starch,-0.03128422564276272
620,1.0657701667927484,PLSR starch,-0.19771116948433407
800,1.0647903061033634,PLSR starch,-0.6192645421167694
992,1.063594323644788,PLSR starch,1.062047847430395
2192,1.063437477536549,PLSR starch,0.8349006601264849
